"para","tau","betaT","method","BIAS_n200","ESD_n200","MSE_n200","BIAS_4200","ESD_4200","MSE_4200"
"betaT.z1",0.4,"(1,1)","MLE","0.014","0.154","0.155","0.008","0.108","0.108"
"betaT.z1",0.4,"(1,1)","PMLE","0.014","0.160","0.161","0.008","0.112","0.112"
"betaT.z1",0.4,"(1,0.5)","MLE","0.016","0.160","0.161","0.008","0.112","0.112"
"betaT.z1",0.4,"(1,0.5)","PMLE","0.016","0.166","0.167","0.008","0.115","0.115"
"betaT.z1",0.6,"(1,1)","MLE","0.018","0.143","0.144","0.011","0.101","0.101"
"betaT.z1",0.6,"(1,1)","PMLE","0.018","0.161","0.162","0.011","0.114","0.115"
"betaT.z1",0.6,"(1,0.5)","MLE","0.022","0.147","0.149","0.011","0.103","0.103"
"betaT.z1",0.6,"(1,0.5)","PMLE","0.021","0.165","0.167","0.013","0.116","0.117"
"betaT.z1",0.8,"(1,1)","MLE","0.034","0.133","0.137","0.016","0.091","0.093"
"betaT.z1",0.8,"(1,1)","PMLE","0.027","0.173","0.175","0.016","0.122","0.123"
"betaT.z1",0.8,"(1,0.5)","MLE","0.035","0.135","0.140","0.016","0.092","0.094"
"betaT.z1",0.8,"(1,0.5)","PMLE","0.029","0.174","0.177","0.018","0.123","0.124"
"betaT.z2",0.4,"(1,1)","MLE","0.009","0.197","0.197","0.002","0.145","0.145"
"betaT.z2",0.4,"(1,1)","PMLE","0.003","0.207","0.207","0.008","0.150","0.150"
"betaT.z2",0.4,"(1,0.5)","MLE","0.026","0.372","0.373","0.007","0.275","0.276"
"betaT.z2",0.4,"(1,0.5)","PMLE","0.008","0.392","0.393","0.002","0.284","0.284"
"betaT.z2",0.6,"(1,1)","MLE","0.008","0.177","0.177","0.001","0.125","0.125"
"betaT.z2",0.6,"(1,1)","PMLE","0.012","0.210","0.210","0.012","0.147","0.148"
"betaT.z2",0.6,"(1,0.5)","MLE","0.023","0.332","0.333","0.012","0.236","0.236"
"betaT.z2",0.6,"(1,0.5)","PMLE","0.005","0.392","0.392","0.007","0.279","0.279"
"betaT.z2",0.8,"(1,1)","MLE","0.001","0.161","0.161","0.002","0.111","0.111"
"betaT.z2",0.8,"(1,1)","PMLE","0.025","0.223","0.225","0.018","0.156","0.157"
"betaT.z2",0.8,"(1,0.5)","MLE","0.011","0.303","0.304","0.012","0.208","0.209"
"betaT.z2",0.8,"(1,0.5)","PMLE","0.019","0.413","0.414","0.014","0.291","0.292"
"copula",0.4,"(1,1)","MLE","0.063","0.186","0.196","0.025","0.124","0.127"
"copula",0.4,"(1,1)","PMLE","0.026","0.184","0.186","0.007","0.125","0.125"
"copula",0.4,"(1,0.5)","MLE","0.061","0.191","0.201","0.026","0.127","0.129"
"copula",0.4,"(1,0.5)","PMLE","0.025","0.189","0.190","0.007","0.127","0.127"
"copula",0.6,"(1,1)","MLE","0.067","0.148","0.162","0.028","0.094","0.099"
"copula",0.6,"(1,1)","PMLE","0.011","0.146","0.146","0.000","0.098","0.098"
"copula",0.6,"(1,0.5)","MLE","0.065","0.151","0.165","0.027","0.095","0.099"
"copula",0.6,"(1,0.5)","PMLE","0.010","0.149","0.150","0.001","0.098","0.098"
"copula",0.8,"(1,1)","MLE","0.101","0.138","0.171","0.046","0.080","0.092"
"copula",0.8,"(1,1)","PMLE","0.011","0.125","0.126","0.011","0.080","0.081"
"copula",0.8,"(1,0.5)","MLE","0.098","0.139","0.170","0.045","0.081","0.093"
"copula",0.8,"(1,0.5)","PMLE","0.013","0.127","0.127","0.012","0.081","0.081"
