"tau","betaT","method","BIAS_n200","ESD_n200","MSE_n200","BIAS_n400","ESD_n400","MSE_n400"
0.4,"(1,1)","PMLE","0.023","0.073","0.077","0.011","0.051","0.052"
0.4,"(1,1)","Zhu et al. (2021)","0.057","0.098","0.113","0.047","0.097","0.107"
0.4,"(1,0.5)","PMLE","0.024","0.075","0.079","0.012","0.052","0.054"
0.4,"(1,0.5)","Zhu et al. (2021)","0.053","0.102","0.115","0.048","0.098","0.110"
0.6,"(1,1)","PMLE","0.026","0.083","0.087","0.013","0.057","0.059"
0.6,"(1,1)","Zhu et al. (2021)","0.145","0.160","0.216","0.102","0.142","0.176"
0.6,"(1,0.5)","PMLE","0.027","0.084","0.088","0.013","0.058","0.060"
0.6,"(1,0.5)","Zhu et al. (2021)","0.127","0.150","0.197","0.097","0.140","0.171"
0.8,"(1,1)","PMLE","0.020","0.093","0.095","0.010","0.062","0.063"
0.8,"(1,1)","Zhu et al. (2021)","0.390","0.280","0.480","0.285","0.210","0.354"
0.8,"(1,0.5)","PMLE","0.020","0.093","0.096","0.010","0.063","0.064"
0.8,"(1,0.5)","Zhu et al. (2021)","0.340","0.240","0.416","0.275","0.210","0.346"
